"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
5.4,3.54826771783772,1.53664994949495,0.282007248219617,"setosa"
6.4,2.95552474136974,5.18305703732731,1.97290353828576,"virginica"
4.9,2.94067966422466,1.83914692640692,0.276631507936508,"setosa"
6.4,2.95552474136974,5.18305703732731,1.97290353828576,"virginica"
5.8,2.88667467199468,4.46505447764653,1.40232162115662,"versicolor"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
5.9,3.0479508080808,4.69665376448904,1.49781741888229,"versicolor"
7.2,3.24259380952381,5.79686184656846,1.98769899711399,"virginica"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
6.9,3.12404595238095,5.07872894771895,2.04996564435564,"virginica"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
7.9,3.48133476190475,5.57273077922078,2.12595809523809,"virginica"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
5.9,3.0479508080808,4.69665376448904,1.49781741888229,"versicolor"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.8,3.00909561494061,5.22287936958054,2.09797414795387,"virginica"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
6.4,2.95552474136974,5.18305703732731,1.97290353828576,"virginica"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.5,2.99350571872572,5.27900814455342,1.9894976796999,"virginica"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
6.1,2.84968835386835,4.63710463136709,1.36481492063492,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.8,3.00909561494061,5.22287936958054,2.09797414795387,"virginica"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
7.6,2.97907825396826,6.17095450095501,2.09569646397119,"virginica"
4.8,3.1785764024864,1.53060876520538,0.195083332690702,"setosa"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
7.2,3.24259380952381,5.79686184656846,1.98769899711399,"virginica"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
7.2,3.24259380952381,5.79686184656846,1.98769899711399,"virginica"
5.6,2.81458251852722,4.44389780097526,1.37217150793651,"versicolor"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
4.9,2.94067966422466,1.83914692640692,0.276631507936508,"setosa"
4.6,3.31522198412699,1.61570603174603,0.260740894660896,"setosa"
4.6,3.31522198412699,1.61570603174603,0.260740894660896,"setosa"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.5,2.99350571872572,5.27900814455342,1.9894976796999,"virginica"
5.4,3.54826771783772,1.53664994949495,0.282007248219617,"setosa"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
4.6,3.31522198412699,1.61570603174603,0.260740894660896,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
4.7,3.20349087301589,1.48691757472919,0.197711427928798,"setosa"
6.5,2.99350571872572,5.27900814455342,1.9894976796999,"virginica"
6.4,2.95552474136974,5.18305703732731,1.97290353828576,"virginica"
6.5,2.99350571872572,5.27900814455342,1.9894976796999,"virginica"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
6.4,2.95552474136974,5.18305703732731,1.97290353828576,"virginica"
4.6,3.31522198412699,1.61570603174603,0.260740894660896,"setosa"
6.8,3.00909561494061,5.22287936958054,2.09797414795387,"virginica"
5.9,3.0479508080808,4.69665376448904,1.49781741888229,"versicolor"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
5.8,2.88667467199468,4.46505447764653,1.40232162115662,"versicolor"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
4.9,2.94067966422466,1.83914692640692,0.276631507936508,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
7.7,3.03275746031746,6.15421640571692,2.11295360682833,"virginica"
5.6,2.81458251852722,4.44389780097526,1.37217150793651,"versicolor"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
5.2,3.42901673160173,1.56982916749917,0.29251411976912,"setosa"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
5.8,2.88667467199468,4.46505447764653,1.40232162115662,"versicolor"
6.6,2.9584961904762,4.93821060487088,1.69066555127277,"versicolor"
6.5,2.99350571872572,5.27900814455342,1.9894976796999,"virginica"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
4.9,2.94067966422466,1.83914692640692,0.276631507936508,"setosa"
5.4,3.54826771783772,1.53664994949495,0.282007248219617,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
4.7,3.20349087301589,1.48691757472919,0.197711427928798,"setosa"
4.5,2.74316642857142,2.12723592352092,0.369187222222222,"setosa"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6,2.73927150849151,4.87229092352092,1.68992888888889,"versicolor"
4.8,3.1785764024864,1.53060876520538,0.195083332690702,"setosa"
5.7,3.1082738031413,4.20578943889444,1.35287521645022,"versicolor"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
5.3,3.58353387445889,1.48523165223665,0.218545228017597,"setosa"
7.3,3.0247180952381,5.97977680254232,1.94141059095531,"virginica"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.2,2.82421626984127,4.72241960972207,1.44878743145743,"versicolor"
6.7,3.05457126928627,4.93536993617495,1.68883482905983,"versicolor"
6.3,2.84944191483439,5.07983105993851,1.74850531635032,"virginica"
6.1,2.84968835386835,4.63710463136709,1.36481492063492,"versicolor"
5.2,3.42901673160173,1.56982916749917,0.29251411976912,"setosa"
5.2,3.42901673160173,1.56982916749917,0.29251411976912,"setosa"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
4.8,3.1785764024864,1.53060876520538,0.195083332690702,"setosa"
5.5,2.84900353585957,4.12376850971097,1.30302093795094,"versicolor"
4.6,3.31522198412699,1.61570603174603,0.260740894660896,"setosa"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
5,3.10565074189514,1.5899265364314,0.259221243201244,"setosa"
4.9,2.94067966422466,1.83914692640692,0.276631507936508,"setosa"
6.6,2.9584961904762,4.93821060487088,1.69066555127277,"versicolor"
5.1,3.48072423623762,1.451375,0.267985136442505,"setosa"
